Gene ID,Species Name,Phylum,Clade,Family ID,,,
ANCCEY_03371,ancylostoma_ceylanicum,Nematoda,Clade V,family 150118,,,
ANCCEY_13441,ancylostoma_ceylanicum,Nematoda,Clade V,family 225491,,,
ANCCEY_05019,ancylostoma_ceylanicum,Nematoda,Clade V,family 236822,,,
ANCCEY_08580,ancylostoma_ceylanicum,Nematoda,Clade V,family 276074,,,
ANCCEY_14180,ancylostoma_ceylanicum,Nematoda,Clade V,family 112805,,,
ANCCEY_00133,ancylostoma_ceylanicum,Nematoda,Clade V,family 112805,,,
ANCCEY_14020,ancylostoma_ceylanicum,Nematoda,Clade V,family 112805,,,
ANCCEY_02154,ancylostoma_ceylanicum,Nematoda,Clade V,family 204750,,,
ANCCEY_02153,ancylostoma_ceylanicum,Nematoda,Clade V,family 204750,,,
ANCCEY_05887,ancylostoma_ceylanicum,Nematoda,Clade V,family 72247,,,
ANCCEY_12038,ancylostoma_ceylanicum,Nematoda,Clade V,family 72247,,,
ANCCEY_01673,ancylostoma_ceylanicum,Nematoda,Clade V,family 72247,,,
ANCCEY_02735,ancylostoma_ceylanicum,Nematoda,Clade V,family 72247,,,
ANCCEY_11545,ancylostoma_ceylanicum,Nematoda,Clade V,family 72247,,,
ANCCEY_07954,ancylostoma_ceylanicum,Nematoda,Clade V,family 72247,,,
ANCCEY_07187,ancylostoma_ceylanicum,Nematoda,Clade V,family 89847,,,
ANCCEY_10214,ancylostoma_ceylanicum,Nematoda,Clade V,family 89847,,,
ANCCEY_00078,ancylostoma_ceylanicum,Nematoda,Clade V,family 89847,,,
ANCCEY_11474,ancylostoma_ceylanicum,Nematoda,Clade V,family 89847,,,
ANCCEY_12280,ancylostoma_ceylanicum,Nematoda,Clade V,family 89847,,,
ANCCEY_02273,ancylostoma_ceylanicum,Nematoda,Clade V,family 92761,,,
ANCCEY_13777,ancylostoma_ceylanicum,Nematoda,Clade V,family 92761,,,
ANCCEY_13379,ancylostoma_ceylanicum,Nematoda,Clade V,family 189534,,,
ANCCEY_13787,ancylostoma_ceylanicum,Nematoda,Clade V,family 189534,,,
ANCCEY_07353,ancylostoma_ceylanicum,Nematoda,Clade V,family 236414,,,
ANCCEY_13963,ancylostoma_ceylanicum,Nematoda,Clade V,family 236414,,,
ANCCEY_06937,ancylostoma_ceylanicum,Nematoda,Clade V,family 253675,,,
ANCCEY_01693,ancylostoma_ceylanicum,Nematoda,Clade V,family 253675,,,
ANCCEY_01976,ancylostoma_ceylanicum,Nematoda,Clade V,family 253675,,,
ANCCEY_02705,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584619,,,
ANCCEY_02706,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584619,,,
ANCCEY_00483,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584619,,,
ANCCEY_01413,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584619,,,
ANCCEY_00079,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584687,,,
ANCCEY_00829,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584687,,,
ANCCEY_01440,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584687,,,
ANCCEY_00294,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584695,,,
ANCCEY_14171,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584699,,,
ANCCEY_00300,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584699,,,
ANCCEY_06975,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584699,,,
ANCCEY_04519,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584822,,,
ANCCEY_01982,ancylostoma_ceylanicum,Nematoda,Clade V,family 73628,,,
ANCCEY_01515,ancylostoma_ceylanicum,Nematoda,Clade V,family 73628,,,
ANCCEY_15643,ancylostoma_ceylanicum,Nematoda,Clade V,family 79653,,,
ANCCEY_14412,ancylostoma_ceylanicum,Nematoda,Clade V,family 79653,,,
ANCCEY_12062,ancylostoma_ceylanicum,Nematoda,Clade V,family 79653,,,
ANCCEY_13793,ancylostoma_ceylanicum,Nematoda,Clade V,family 79653,,,
ANCCEY_07517,ancylostoma_ceylanicum,Nematoda,Clade V,family 79653,,,
ANCCEY_02278,ancylostoma_ceylanicum,Nematoda,Clade V,family 79653,,,
ANCCEY_06597,ancylostoma_ceylanicum,Nematoda,Clade V,family 79653,,,
ANCCEY_07913,ancylostoma_ceylanicum,Nematoda,Clade V,family 79653,,,
ANCCEY_04202,ancylostoma_ceylanicum,Nematoda,Clade V,family 79653,,,
ANCCEY_12832,ancylostoma_ceylanicum,Nematoda,Clade V,family 79653,,,
ANCCEY_15782,ancylostoma_ceylanicum,Nematoda,Clade V,family 79653,,,
ANCCEY_07186,ancylostoma_ceylanicum,Nematoda,Clade V,family 109614,,,
ANCCEY_12768,ancylostoma_ceylanicum,Nematoda,Clade V,family 109614,,,
ANCCEY_13256,ancylostoma_ceylanicum,Nematoda,Clade V,family 109614,,,
ANCCEY_02517,ancylostoma_ceylanicum,Nematoda,Clade V,family 109614,,,
ANCCEY_00453,ancylostoma_ceylanicum,Nematoda,Clade V,family 114014,,,
ANCCEY_06442,ancylostoma_ceylanicum,Nematoda,Clade V,family 114014,,,
ANCCEY_00432,ancylostoma_ceylanicum,Nematoda,Clade V,family 114014,,,
ANCCEY_14183,ancylostoma_ceylanicum,Nematoda,Clade V,family 114014,,,
ANCCEY_13228,ancylostoma_ceylanicum,Nematoda,Clade V,family 114014,,,
